Mesh Metrics:
  Number of vertices: 833649
  Component 471 size: 6
  Component 472 size: 18
  Component 473 size: 16
  Component 474 size: 20
  Component 475 size: 48
  Component 476 size: 26
  Component 477 size: 16
  Component 478 size: 40
  Component 479 size: 12
  Component 480 size: 20
  Component 481 size: 8
  Component 482 size: 26
  Component 483 size: 8
  Component 484 size: 18
  Component 485 size: 22
  Component 486 size: 26
  Component 487 size: 14
  Component 488 size: 14
  Component 489 size: 36
  Component 490 size: 1
  Component 491 size: 2
  Component 492 size: 1
  Minimum face area: 0
  Maximum face area: 0.704045
  Average face area: 9.43834e-05
  Number of degenerate faces: 5694
  Area degeneracy ratio: 0.00341585
  5th percentile minimum angle: 5.78466
  Maximum angle: 180
