Mesh Metrics:
  Number of vertices: 1678693
  Loop 675 size: 5
  Loop 676 size: 4
  Loop 677 size: 3
  Loop 678 size: 3
  Loop 679 size: 1
  Loop 680 size: 12
  Loop 681 size: 9
  Loop 682 size: 1
  Loop 683 size: 1
  Loop 684 size: 3
  Loop 685 size: 1
  Loop 686 size: 1
  Loop 687 size: 1
  Loop 688 size: 3
  Loop 689 size: 17
  Loop 690 size: 13
  Loop 691 size: 3
  Loop 692 size: 159
  Loop 693 size: 3
  Loop 694 size: 14
  Loop 695 size: 11
  Loop 696 size: 79
  Loop 697 size: 8
  Loop 698 size: 3618
  Loop 699 size: 1
  Loop 700 size: 1
  Loop 701 size: 1
  Loop 702 size: 71
  Loop 703 size: 1
  Loop 704 size: 1
  Loop 705 size: 1
  Loop 706 size: 1
  Loop 707 size: 3
  Loop 708 size: 10
  Loop 709 size: 11
  Loop 710 size: 12
  Loop 711 size: 14
  Loop 712 size: 6
  Loop 713 size: 7
  Loop 714 size: 3
  Loop 715 size: 6
  Loop 716 size: 3
  Loop 717 size: 3
  Loop 718 size: 3
  Loop 719 size: 5
  Loop 720 size: 9
  Loop 721 size: 8
  Loop 722 size: 3
  Loop 723 size: 3
  Loop 724 size: 3
  Loop 725 size: 4
  Loop 726 size: 3
  Loop 727 size: 1
  Loop 728 size: 1
  Loop 729 size: 4
  Loop 730 size: 6
  Loop 731 size: 25
  Loop 732 size: 30
  Loop 733 size: 1
  Loop 734 size: 3
  Loop 735 size: 39
  Loop 736 size: 3
  Loop 737 size: 28
  Loop 738 size: 2
  Loop 739 size: 2
  Loop 740 size: 4
  Loop 741 size: 3
  Loop 742 size: 5
  Loop 743 size: 8
  Loop 744 size: 311
  Loop 745 size: 6
  Loop 746 size: 10
  Loop 747 size: 3
  Loop 748 size: 3
  Loop 749 size: 5
  Loop 750 size: 77
  Loop 751 size: 5
  Loop 752 size: 3
  Loop 753 size: 4
  Loop 754 size: 4
  Loop 755 size: 3
  Loop 756 size: 3
  Loop 757 size: 3
  Loop 758 size: 3
  Loop 759 size: 11
  Loop 760 size: 232
  Loop 761 size: 1
  Loop 762 size: 1
  Loop 763 size: 4
  Loop 764 size: 11
  Loop 765 size: 3
  Loop 766 size: 3
  Loop 767 size: 3
  Loop 768 size: 3
  Loop 769 size: 3
  Loop 770 size: 6
  Loop 771 size: 9
  Loop 772 size: 3
  Loop 773 size: 3
  Loop 774 size: 4
  Loop 775 size: 11
  Loop 776 size: 1395
  Loop 777 size: 13
  Loop 778 size: 3
  Loop 779 size: 1
  Loop 780 size: 1
  Loop 781 size: 1
  Loop 782 size: 1
  Loop 783 size: 1
  Loop 784 size: 3
  Loop 785 size: 9
  Loop 786 size: 13
  Loop 787 size: 1
  Loop 788 size: 1
  Loop 789 size: 7
  Loop 790 size: 2
  Loop 791 size: 1
  Loop 792 size: 1
  Loop 793 size: 3
  Loop 794 size: 1
  Loop 795 size: 1
  Loop 796 size: 1
  Loop 797 size: 14
  Loop 798 size: 8
  Loop 799 size: 1
  Loop 800 size: 1
  Loop 801 size: 11
  Loop 802 size: 1
  Loop 803 size: 1
  Loop 804 size: 16
  Loop 805 size: 1
  Loop 806 size: 1
  Loop 807 size: 8
  Loop 808 size: 1
  Loop 809 size: 1
  Loop 810 size: 2
  Loop 811 size: 2
  Loop 812 size: 1
  Loop 813 size: 13
  Loop 814 size: 5
  Loop 815 size: 5
  Loop 816 size: 3
  Loop 817 size: 3
  Loop 818 size: 310
  Loop 819 size: 1
  Loop 820 size: 1
  Loop 821 size: 1
  Loop 822 size: 1
  Loop 823 size: 1
  Loop 824 size: 1
  Loop 825 size: 3
  Loop 826 size: 4
  Loop 827 size: 14
  Loop 828 size: 3
  Loop 829 size: 3
  Loop 830 size: 13
  Loop 831 size: 3
  Loop 832 size: 3
  Loop 833 size: 6
  Loop 834 size: 3
  Loop 835 size: 1
  Loop 836 size: 1
  Loop 837 size: 4
  Loop 838 size: 4
  Loop 839 size: 84
  Loop 840 size: 3
  Loop 841 size: 57
  Loop 842 size: 4
  Loop 843 size: 6
  Loop 844 size: 243
  Loop 845 size: 1
  Loop 846 size: 1
  Loop 847 size: 3
  Loop 848 size: 85
  Loop 849 size: 17
  Loop 850 size: 1
  Loop 851 size: 1
  Loop 852 size: 12
  Loop 853 size: 3
  Loop 854 size: 1
  Loop 855 size: 2
  Loop 856 size: 1
  Loop 857 size: 7
  Loop 858 size: 1
  Loop 859 size: 1
  Loop 860 size: 1
  Loop 861 size: 3
  Loop 862 size: 5
  Loop 863 size: 3
  Loop 864 size: 12
  Loop 865 size: 1
  Loop 866 size: 1
  Loop 867 size: 1
  Loop 868 size: 1
  Loop 869 size: 1
  Loop 870 size: 3
  Loop 871 size: 3
  Loop 872 size: 3
  Loop 873 size: 3
  Loop 874 size: 1
  Loop 875 size: 4
  Loop 876 size: 3
  Loop 877 size: 6
  Loop 878 size: 3
  Loop 879 size: 1
  Loop 880 size: 1
  Loop 881 size: 1
  Loop 882 size: 1
  Loop 883 size: 1
  Loop 884 size: 1
  Loop 885 size: 1
  Loop 886 size: 4
  Loop 887 size: 6
  Loop 888 size: 1
  Loop 889 size: 1
  Loop 890 size: 6
  Loop 891 size: 1
  Loop 892 size: 1
  Loop 893 size: 1
  Loop 894 size: 1
  Loop 895 size: 37
  Loop 896 size: 8
  Loop 897 size: 1
  Loop 898 size: 232
  Loop 899 size: 2
  Loop 900 size: 386
  Loop 901 size: 2
  Loop 902 size: 2
  Loop 903 size: 55
  Loop 904 size: 1
  Loop 905 size: 17
  Loop 906 size: 7
  Loop 907 size: 57
  Loop 908 size: 4
  Loop 909 size: 3
  Loop 910 size: 3
  Loop 911 size: 1
  Loop 912 size: 1
  Loop 913 size: 1
  Loop 914 size: 1
  Loop 915 size: 1
  Loop 916 size: 1
  Loop 917 size: 1
  Loop 918 size: 1
  Loop 919 size: 1
  Loop 920 size: 1
  Loop 921 size: 1
  Loop 922 size: 5
  Loop 923 size: 1
  Loop 924 size: 24
  Loop 925 size: 1
  Loop 926 size: 1
  Loop 927 size: 12
  Loop 928 size: 2
  Loop 929 size: 1
  Loop 930 size: 1
  Loop 931 size: 1
  Loop 932 size: 1
  Loop 933 size: 2
  Loop 934 size: 1
  Loop 935 size: 2
  Loop 936 size: 2
  Loop 937 size: 2
  Loop 938 size: 1
  Loop 939 size: 14
  Loop 940 size: 1
  Loop 941 size: 1
  Loop 942 size: 1
  Loop 943 size: 4
  Loop 944 size: 1
  Loop 945 size: 1
  Loop 946 size: 1
  Loop 947 size: 2
  Loop 948 size: 1
  Loop 949 size: 20
  Loop 950 size: 1
  Loop 951 size: 369
  Loop 952 size: 9
  Loop 953 size: 1
  Loop 954 size: 1
  Loop 955 size: 1
  Loop 956 size: 1
  Loop 957 size: 1
  Loop 958 size: 1
  Loop 959 size: 1
  Loop 960 size: 1
  Loop 961 size: 2
  Loop 962 size: 6
  Loop 963 size: 1
  Loop 964 size: 1
  Loop 965 size: 1
  Loop 966 size: 134
  Loop 967 size: 1
  Loop 968 size: 1
  Loop 969 size: 1
  Loop 970 size: 1
  Loop 971 size: 1
  Loop 972 size: 4
  Loop 973 size: 14
  Loop 974 size: 39
  Loop 975 size: 1
  Loop 976 size: 1
  Loop 977 size: 1
  Loop 978 size: 1614
  Loop 979 size: 1
  Loop 980 size: 2
  Loop 981 size: 4
  Loop 982 size: 6
  Loop 983 size: 76
  Loop 984 size: 3
  Loop 985 size: 13
  Loop 986 size: 1
  Loop 987 size: 1
  Loop 988 size: 1
  Loop 989 size: 13
  Loop 990 size: 5
  Loop 991 size: 5
  Loop 992 size: 6
  Loop 993 size: 12
  Loop 994 size: 21
  Loop 995 size: 5
  Loop 996 size: 7
  Loop 997 size: 3
  Loop 998 size: 7
  Loop 999 size: 3
  Loop 1000 size: 4
  Loop 1001 size: 4
  Loop 1002 size: 8
  Loop 1003 size: 6
  Loop 1004 size: 4
  Loop 1005 size: 22
  Loop 1006 size: 7
  Loop 1007 size: 6
  Loop 1008 size: 7
  Loop 1009 size: 9
  Loop 1010 size: 40
  Loop 1011 size: 3
  Loop 1012 size: 1
  Loop 1013 size: 9
  Loop 1014 size: 3
  Loop 1015 size: 3
  Loop 1016 size: 4
  Loop 1017 size: 35
  Loop 1018 size: 23
  Loop 1019 size: 210
  Loop 1020 size: 5
  Loop 1021 size: 9
  Loop 1022 size: 8
  Loop 1023 size: 3
  Loop 1024 size: 5
  Loop 1025 size: 4
  Loop 1026 size: 3
  Loop 1027 size: 5
  Loop 1028 size: 17
  Loop 1029 size: 12
  Loop 1030 size: 4
  Loop 1031 size: 50
  Loop 1032 size: 3
  Loop 1033 size: 4
  Loop 1034 size: 12
  Loop 1035 size: 3
  Loop 1036 size: 3
  Loop 1037 size: 7
  Loop 1038 size: 3
  Loop 1039 size: 5
  Loop 1040 size: 4
  Loop 1041 size: 8
  Loop 1042 size: 10
  Loop 1043 size: 3
  Loop 1044 size: 84
  Loop 1045 size: 3
  Loop 1046 size: 4
  Loop 1047 size: 4
  Loop 1048 size: 6
  Loop 1049 size: 8
  Loop 1050 size: 6
  Loop 1051 size: 3
  Loop 1052 size: 543
  Loop 1053 size: 1
  Loop 1054 size: 1
  Loop 1055 size: 2
  Loop 1056 size: 2
  Loop 1057 size: 2
  Loop 1058 size: 1
  Loop 1059 size: 2
  Loop 1060 size: 2
  Loop 1061 size: 1
  Loop 1062 size: 2
  Loop 1063 size: 1
  Loop 1064 size: 3
  Loop 1065 size: 1
  Loop 1066 size: 1
  Loop 1067 size: 4
  Loop 1068 size: 1
  Loop 1069 size: 3
  Loop 1070 size: 8
  Loop 1071 size: 2
  Loop 1072 size: 3
  Loop 1073 size: 3
  Loop 1074 size: 1
  Loop 1075 size: 9
  Loop 1076 size: 1
  Loop 1077 size: 1
  Loop 1078 size: 29
  Loop 1079 size: 1
  Loop 1080 size: 1
  Loop 1081 size: 1
  Loop 1082 size: 1
  Loop 1083 size: 1
  Loop 1084 size: 1
  Loop 1085 size: 1
  Loop 1086 size: 1
  Loop 1087 size: 1
  Loop 1088 size: 3
  Loop 1089 size: 2
  Loop 1090 size: 5
  Loop 1091 size: 3
  Loop 1092 size: 13
  Loop 1093 size: 10
  Loop 1094 size: 5
  Loop 1095 size: 376
  Loop 1096 size: 1
  Loop 1097 size: 1
  Loop 1098 size: 1
  Loop 1099 size: 1
  Loop 1100 size: 1
  Loop 1101 size: 1
  Loop 1102 size: 1
  Loop 1103 size: 1
  Loop 1104 size: 1
  Loop 1105 size: 1
  Loop 1106 size: 1
  Loop 1107 size: 1
  Loop 1108 size: 2
  Loop 1109 size: 1
  Loop 1110 size: 2
  Loop 1111 size: 1
  Loop 1112 size: 1
  Loop 1113 size: 1
  Loop 1114 size: 1
  Loop 1115 size: 1
  Loop 1116 size: 1
  Loop 1117 size: 1
  Loop 1118 size: 1
  Loop 1119 size: 1
  Loop 1120 size: 1
  Loop 1121 size: 1
  Loop 1122 size: 3
  Loop 1123 size: 1
  Loop 1124 size: 1
  Loop 1125 size: 1
  Loop 1126 size: 65
  Loop 1127 size: 1
  Loop 1128 size: 1
  Loop 1129 size: 4
  Loop 1130 size: 13
  Loop 1131 size: 1
  Loop 1132 size: 32
  Loop 1133 size: 5
  Loop 1134 size: 1
